filename,label
000000.png,-1
000001.png,-1
000002.png,-1
000003.png,-1
000004.png,-1
000005.png,6
000006.png,-1
000007.png,-1
000008.png,-1
000009.png,-1
000010.png,-1
000011.png,-1
000012.png,6
000013.png,0
000014.png,-1
000015.png,-1
000016.png,-1
000017.png,-1
000018.png,-1
000019.png,-1
000020.png,-1
000021.png,0
000022.png,-1
000023.png,-1
000024.png,-1
000025.png,-1
000026.png,3
000027.png,3
000028.png,-1
000029.png,-1
000030.png,-1
000031.png,-1
000032.png,7
000033.png,-1
000034.png,4
000035.png,-1
000036.png,-1
000037.png,-1
000038.png,-1
000039.png,6
000040.png,-1
000041.png,-1
000042.png,-1
000043.png,2
000044.png,-1
000045.png,-1
000046.png,6
000047.png,-1
000048.png,-1
000049.png,1
000050.png,-1
000051.png,-1
000052.png,2
000053.png,-1
000054.png,-1
000055.png,-1
000056.png,-1
000057.png,-1
000058.png,-1
000059.png,0
000060.png,0
000061.png,-1
000062.png,-1
000063.png,-1
000064.png,-1
000065.png,-1
000066.png,6
000067.png,-1
000068.png,3
000069.png,-1
000070.png,-1
000071.png,-1
000072.png,-1
000073.png,-1
000074.png,-1
000075.png,6
000076.png,-1
000077.png,-1
000078.png,-1
000079.png,-1
000080.png,-1
000081.png,-1
000082.png,6
000083.png,-1
000084.png,-1
000085.png,-1
000086.png,-1
000087.png,-1
000088.png,-1
000089.png,-1
000090.png,-1
000091.png,7
000092.png,-1
000093.png,-1
000094.png,-1
000095.png,-1
000096.png,-1
000097.png,-1
000098.png,-1
000099.png,-1
000100.png,-1
000101.png,-1
000102.png,3
000103.png,-1
000104.png,-1
000105.png,-1
000106.png,-1
000107.png,-1
000108.png,-1
000109.png,6
000110.png,-1
000111.png,-1
000112.png,-1
000113.png,-1
000114.png,-1
000115.png,-1
000116.png,-1
000117.png,-1
000118.png,-1
000119.png,2
000120.png,-1
000121.png,-1
000122.png,-1
000123.png,-1
000124.png,6
000125.png,-1
000126.png,-1
000127.png,-1
000128.png,-1
000129.png,-1
000130.png,-1
000131.png,-1
000132.png,-1
000133.png,-1
000134.png,-1
000135.png,-1
000136.png,7
000137.png,6
000138.png,-1
000139.png,-1
000140.png,-1
000141.png,-1
000142.png,4
000143.png,4
000144.png,4
000145.png,-1
000146.png,-1
000147.png,-1
000148.png,-1
000149.png,-1
000150.png,-1
000151.png,3
000152.png,-1
000153.png,2
000154.png,-1
000155.png,2
000156.png,-1
000157.png,6
000158.png,-1
000159.png,-1
000160.png,-1
000161.png,-1
000162.png,-1
000163.png,3
000164.png,-1
000165.png,-1
000166.png,-1
000167.png,-1
000168.png,-1
000169.png,6
000170.png,0
000171.png,6
000172.png,-1
000173.png,6
000174.png,-1
000175.png,-1
000176.png,-1
000177.png,-1
000178.png,-1
000179.png,-1
000180.png,-1
000181.png,-1
000182.png,-1
000183.png,2
000184.png,-1
000185.png,-1
000186.png,-1
000187.png,-1
000188.png,-1
000189.png,-1
000190.png,-1
000191.png,-1
000192.png,-1
000193.png,6
000194.png,-1
000195.png,6
000196.png,-1
000197.png,-1
000198.png,-1
000199.png,-1
000200.png,4
000201.png,-1
000202.png,-1
000203.png,-1
000204.png,3
000205.png,-1
000206.png,-1
000207.png,-1
000208.png,-1
000209.png,-1
000210.png,-1
000211.png,-1
000212.png,-1
000213.png,-1
000214.png,-1
000215.png,-1
000216.png,-1
000217.png,-1
000218.png,-1
000219.png,-1
000220.png,3
000221.png,-1
000222.png,4
000223.png,-1
000224.png,-1
000225.png,-1
000226.png,6
000227.png,-1
000228.png,-1
000229.png,-1
000230.png,6
000231.png,-1
000232.png,-1
000233.png,-1
000234.png,-1
000235.png,-1
000236.png,-1
000237.png,4
000238.png,-1
000239.png,-1
000240.png,-1
000241.png,1
000242.png,-1
000243.png,-1
000244.png,3
000245.png,-1
000246.png,4
000247.png,-1
000248.png,-1
000249.png,7
000250.png,6
000251.png,6
000252.png,6
000253.png,6
000254.png,-1
000255.png,-1
000256.png,-1
000257.png,-1
000258.png,-1
000259.png,4
000260.png,-1
000261.png,-1
000262.png,-1
000263.png,6
000264.png,-1
000265.png,-1
000266.png,-1
000267.png,-1
000268.png,-1
000269.png,-1
000270.png,-1
000271.png,3
000272.png,3
000273.png,-1
000274.png,-1
000275.png,-1
000276.png,-1
000277.png,2
000278.png,4
000279.png,5
000280.png,-1
000281.png,-1
000282.png,-1
000283.png,-1
000284.png,-1
000285.png,4
000286.png,4
000287.png,4
000288.png,-1
000289.png,-1
000290.png,2
000291.png,-1
000292.png,-1
000293.png,-1
000294.png,-1
000295.png,3
000296.png,-1
000297.png,-1
000298.png,-1
000299.png,4
000300.png,-1
000301.png,-1
000302.png,-1
000303.png,-1
000304.png,-1
000305.png,-1
000306.png,4
000307.png,6
000308.png,4
000309.png,4
000310.png,-1
000311.png,-1
000312.png,-1
000313.png,-1
000314.png,-1
000315.png,4
000316.png,-1
000317.png,-1
000318.png,-1
000319.png,-1
000320.png,-1
000321.png,-1
000322.png,-1
000323.png,6
000324.png,-1
000325.png,-1
000326.png,-1
000327.png,1
000328.png,-1
000329.png,4
000330.png,-1
000331.png,-1
000332.png,-1
000333.png,-1
000334.png,2
000335.png,6
000336.png,7
000337.png,-1
000338.png,8
000339.png,-1
000340.png,-1
000341.png,-1
000342.png,6
000343.png,-1
000344.png,-1
000345.png,-1
000346.png,2
000347.png,1
000348.png,-1
000349.png,2
000350.png,-1
000351.png,-1
000352.png,-1
000353.png,-1
000354.png,4
000355.png,-1
000356.png,6
000357.png,6
000358.png,-1
000359.png,-1
000360.png,-1
000361.png,2
000362.png,0
000363.png,6
000364.png,-1
000365.png,6
000366.png,6
000367.png,6
000368.png,6
000369.png,6
000370.png,6
000371.png,-1
000372.png,6
000373.png,3
000374.png,3
000375.png,6
000376.png,0
000377.png,0
000378.png,-1
000379.png,-1
000380.png,-1
000381.png,-1
000382.png,-1
000383.png,-1
000384.png,4
000385.png,-1
000386.png,-1
000387.png,-1
000388.png,-1
000389.png,5
000390.png,-1
000391.png,-1
000392.png,-1
000393.png,-1
000394.png,-1
000395.png,-1
000396.png,-1
000397.png,-1
000398.png,-1
000399.png,-1
000400.png,-1
000401.png,-1
000402.png,-1
000403.png,6
000404.png,-1
000405.png,-1
000406.png,-1
000407.png,-1
000408.png,-1
000409.png,3
000410.png,-1
000411.png,6
000412.png,6
000413.png,-1
000414.png,-1
000415.png,-1
000416.png,7
000417.png,-1
000418.png,-1
000419.png,-1
000420.png,-1
000421.png,-1
000422.png,-1
000423.png,-1
000424.png,6
000425.png,-1
000426.png,-1
000427.png,-1
000428.png,-1
000429.png,3
000430.png,-1
000431.png,-1
000432.png,-1
000433.png,2
000434.png,-1
000435.png,-1
000436.png,-1
000437.png,4
000438.png,-1
000439.png,-1
000440.png,-1
000441.png,-1
000442.png,-1
000443.png,-1
000444.png,6
000445.png,-1
000446.png,-1
000447.png,-1
000448.png,-1
000449.png,-1
000450.png,-1
000451.png,-1
000452.png,6
000453.png,-1
000454.png,-1
000455.png,-1
000456.png,-1
000457.png,-1
000458.png,-1
000459.png,-1
000460.png,-1
000461.png,4
000462.png,-1
000463.png,-1
000464.png,3
000465.png,3
000466.png,-1
000467.png,3
000468.png,3
000469.png,-1
000470.png,-1
000471.png,3
000472.png,-1
000473.png,-1
000474.png,-1
000475.png,-1
000476.png,-1
000477.png,-1
000478.png,-1
000479.png,5
000480.png,-1
000481.png,-1
000482.png,-1
000483.png,-1
000484.png,-1
000485.png,-1
000486.png,-1
000487.png,-1
000488.png,-1
000489.png,6
000490.png,6
000491.png,-1
000492.png,-1
000493.png,-1
000494.png,3
000495.png,-1
